20250612 055500;6064.75;6066;6064.75;6065.5;17
20250612 055600;6066;6066;6065.25;6065.75;6
20250612 055700;6065.75;6066.25;6065.75;6066.25;3
20250612 055800;6066.25;6069.5;6065.75;6065.75;86
20250612 055900;6067.5;6067.5;6067;6067.25;8
20250612 060000;6066.5;6067;6066.5;6067;5
20250612 060100;6065.5;6065.5;6064.5;6064.75;6
20250612 060200;6063.25;6063.5;6062.5;6062.5;13
20250612 060300;6062.5;6064;6062.5;6063.75;29
20250612 060400;6064.25;6065.25;6064.25;6065;7
20250612 060500;6064.75;6064.75;6063.5;6063.5;10
20250612 060600;6064.25;6064.25;6063.25;6063.25;5
20250612 060700;6062.75;6063;6062.5;6063;5
20250612 060800;6062.75;6063;6062.75;6063;5
20250612 060900;6063;6063.25;6063;6063.25;5
20250612 061000;6063.75;6063.75;6063.25;6063.75;8
20250612 061100;6063.25;6064.25;6062.25;6063.75;17
20250612 061200;6063.25;6064.75;6063.25;6064.75;22
20250612 061300;6065.5;6065.5;6065.25;6065.25;5
20250612 061400;6064.75;6064.75;6064.75;6064.75;1
20250612 061500;6064.75;6066;6064.75;6066;17
20250612 061600;6066;6067.75;6066;6067.75;56
20250612 061700;6067;6067.75;6066.75;6066.75;18
20250612 061800;6066.75;6066.75;6066.75;6066.75;2
20250612 061900;6066;6066;6066;6066;2
20250612 062000;6066;6067.25;6066;6067.25;6
20250612 062100;6067.25;6067.25;6066.5;6066.5;11
20250612 062200;6066.25;6067;6066;6066.75;7
20250612 062300;6066.5;6066.5;6065.75;6066.25;8
20250612 062400;6066.5;6066.75;6066.5;6066.75;5
20250612 062500;6066.5;6066.75;6066.5;6066.75;4
20250612 062600;6066.75;6067.25;6066.75;6066.75;5
20250612 062700;6066.75;6066.75;6066.5;6066.5;7
20250612 062800;6066.25;6066.25;6066.25;6066.25;7
20250612 062900;6066;6066.25;6065.75;6065.75;21
20250612 063000;6065;6065.25;6064.5;6064.5;10
20250612 063100;6064.25;6064.5;6063;6064.5;29
20250612 063200;6063.75;6065;6063.75;6065;19
20250612 063300;6065;6067.75;6065;6067.5;40
20250612 063400;6067.25;6068.25;6067.25;6068.25;17
20250612 063500;6068;6068.25;6067.5;6067.5;14
20250612 063600;6067.5;6067.5;6067.5;6067.5;2
20250612 063700;6067.25;6067.5;6067.25;6067.5;3
20250612 063800;6066.5;6067;6066.5;6066.5;10
20250612 063900;6066.75;6068;6066.5;6067.75;32
20250612 064000;6067.5;6067.5;6067;6067;4
20250612 064100;6066.75;6066.75;6066;6066.5;6
20250612 064200;6066.75;6067;6066.75;6067;5
20250612 064300;6067.5;6068;6067.5;6067.75;11
20250612 064400;6068.25;6068.5;6068.25;6068.5;2
20250612 064500;6068.75;6068.75;6068;6068;5
20250612 064600;6067.75;6067.75;6067.5;6067.5;13
20250612 064800;6066;6066;6066;6066;4
20250612 064900;6065.75;6068.5;6065.75;6068.5;13
20250612 065000;6068;6068;6067.25;6067.25;20
20250612 065100;6067.25;6070.5;6066.5;6068.25;113
20250612 065200;6068.25;6069.25;6068.25;6068.5;25
20250612 065300;6069;6070.75;6068.25;6070.75;37
20250612 065400;6070;6070.75;6069.25;6070.5;27
20250612 065500;6070;6070.25;6069.5;6070;10
20250612 065600;6070;6070;6070;6070;1
20250612 065700;6069.75;6069.75;6068.5;6068.75;11
20250612 065800;6068.25;6068.5;6068.25;6068.5;3
20250612 065900;6068.75;6069.75;6068.75;6069.5;5
20250612 070000;6069.5;6069.75;6069;6069.5;23
20250612 070100;6069.5;6070;6069.25;6069.75;28
20250612 070200;6070;6072.75;6070;6072.25;76
20250612 070300;6071.75;6072;6071.5;6072;13
20250612 070400;6072;6073.75;6071.75;6072.75;136
20250612 070500;6073;6073;6072.5;6072.5;13
20250612 070600;6073;6073.5;6071.75;6071.75;8
20250612 070700;6071.5;6072;6071.25;6071.25;9
20250612 070800;6071.5;6073;6071.5;6072.5;16
20250612 070900;6072.75;6073.25;6072.75;6073.25;11
20250612 071000;6073.75;6073.75;6073;6073;6
20250612 071100;6072.5;6073;6072.5;6073;5
20250612 071200;6072.5;6073.5;6072.5;6072.75;26
20250612 071300;6072.5;6072.5;6071.75;6071.75;14
20250612 071400;6072.75;6072.75;6070.75;6071.25;59
20250612 071500;6070.75;6072.25;6070.75;6071.25;25
20250612 071600;6070.5;6072;6070;6070;43
20250612 071700;6070;6070.75;6070;6070.75;14
20250612 071800;6071.25;6071.25;6070.25;6071.25;9
20250612 071900;6070.75;6071;6070.75;6071;6
20250612 072000;6070.75;6070.75;6070;6070;13
20250612 072100;6070;6071.25;6070;6070;22
20250612 072200;6070;6071.5;6070;6071;23
20250612 072300;6071.25;6071.5;6071.25;6071.5;10
20250612 072400;6072;6072;6071.5;6071.5;2
20250612 072500;6072;6072;6071.5;6072;10
20250612 072600;6072;6072;6071.75;6071.75;5
20250612 072700;6071.75;6071.75;6071;6071.5;6
20250612 072800;6070;6070;6069;6069;7
20250612 072900;6069.25;6070.75;6069.25;6070.5;17
20250612 073000;6070.5;6070.5;6068.25;6068.75;8
20250612 073100;6067.5;6067.5;6065.75;6066.25;32
20250612 073200;6067;6067;6064.25;6064.5;23
20250612 073300;6064.75;6065.5;6064;6064.25;19
20250612 073400;6063.75;6064.75;6063.5;6064.75;15
20250612 073500;6064.25;6064.5;6063.75;6064.5;22
20250612 073600;6064.75;6065.75;6064.5;6065.75;16
20250612 073700;6065.25;6066;6064.75;6064.75;13
20250612 073800;6064.5;6064.75;6064.5;6064.75;8
20250612 073900;6065;6065;6064;6064.75;25
20250612 074000;6064.75;6066;6064.75;6065.25;17
20250612 074100;6064.75;6065.25;6064;6065.25;19
20250612 074200;6065.25;6065.25;6064;6064;30
20250612 074300;6063;6063.25;6062.5;6063.25;27
20250612 074400;6062.5;6063;6062.5;6062.75;8
20250612 074500;6062;6062;6061.5;6061.5;28
20250612 074600;6061.75;6061.75;6060.25;6060.75;79
20250612 074700;6060.25;6060.25;6056;6057.5;79
20250612 074800;6057.5;6059.5;6057.5;6059.5;43
20250612 074900;6059.25;6060.25;6058.75;6060.25;24
20250612 075000;6059.25;6060;6058.75;6059.25;25
20250612 075100;6059;6059;6055.25;6055.25;99
20250612 075200;6055.25;6056.5;6054.75;6055.5;72
20250612 075300;6055.25;6056;6054;6055.25;58
20250612 075400;6055;6056;6055;6055;25
20250612 075500;6055.25;6055.25;6050.25;6050.25;109
20250612 075600;6050.25;6052.75;6049.25;6052.75;125
20250612 075700;6052.75;6053.75;6051.5;6053.75;43
20250612 075800;6053;6053.5;6052;6052;20
20250612 075900;6052;6052.5;6051;6052.5;18
20250612 080000;6052.5;6053;6051.75;6053;29
20250612 080100;6051.75;6053.75;6051.25;6053;43
20250612 080200;6052.75;6055.25;6049.25;6049.25;94
20250612 080300;6049.25;6049.25;6045.25;6045.5;133
20250612 080400;6045;6046.5;6045;6045;35
20250612 080500;6045.25;6045.25;6041.25;6042.5;152
20250612 080600;6042.75;6043.25;6040.75;6041.75;153
20250612 080700;6042.5;6043.75;6041.75;6043.5;66
20250612 080800;6044.25;6047;6044;6047;53
20250612 080900;6047;6048.25;6046.5;6047.75;41
20250612 081000;6047.5;6048.25;6046.75;6047.75;22
20250612 081100;6048.25;6050.5;6048;6049.5;20
20250612 081200;6049.5;6050.75;6049.25;6050.25;25
20250612 081300;6050.25;6051.25;6050.25;6051;30
20250612 081400;6051.5;6052.25;6051;6051;29
20250612 081500;6050.75;6050.75;6049.75;6050;25
20250612 081600;6050;6050.25;6048.75;6049.25;18
20250612 081700;6049;6049.5;6047.25;6047.25;30
20250612 081800;6047;6048.25;6046.25;6047;66
20250612 081900;6046.75;6047.25;6045;6045.25;71
20250612 082000;6045.25;6048;6045.25;6048;24
20250612 082100;6048.25;6048.5;6047.75;6048;33
20250612 082200;6049;6050.25;6049;6050;23
20250612 082300;6050;6050;6047.5;6047.75;22
20250612 082400;6047;6049;6046.75;6049;31
20250612 082500;6048;6049;6047.5;6047.5;14
20250612 082600;6047.25;6047.5;6045.25;6045.5;31
20250612 082700;6045.5;6048.25;6045.5;6047.5;32
20250612 082800;6047.75;6048.25;6046.5;6047.25;23
20250612 082900;6047;6048.5;6047;6048.25;15
20250612 083000;6047.5;6048;6047.25;6048;16
20250612 083100;6048;6048;6046.5;6047.75;21
20250612 083200;6047.75;6047.75;6045.25;6045.5;30
20250612 083300;6046;6046.75;6045.5;6045.75;20
20250612 083400;6046.75;6047.25;6046.75;6047.25;12
20250612 083500;6047;6047.5;6046.5;6046.5;20
20250612 083600;6046.25;6046.25;6044.5;6044.5;49
20250612 083700;6044.75;6045.25;6044.25;6045;17
20250612 083800;6045.75;6047;6045.5;6047;8
20250612 083900;6047.25;6047.5;6046.5;6046.5;19
20250612 084000;6047;6047.25;6046.5;6046.5;11
20250612 084100;6047.75;6049.75;6047.5;6049.5;21
20250612 084200;6049.25;6050.75;6049.25;6049.75;28
20250612 084300;6050.5;6050.5;6049.25;6049.25;9
20250612 084400;6050.5;6051.75;6050.25;6051.25;11
20250612 084500;6051.75;6051.75;6050.5;6051;13
20250612 084600;6050.25;6050.25;6049.75;6049.75;7
20250612 084700;6049.75;6051;6049.75;6051;7
20250612 084800;6051;6054;6051;6053.75;63
20250612 084900;6053.5;6054.5;6053.5;6054.5;13
20250612 085000;6054.5;6055.5;6054.25;6055.25;38
20250612 085100;6055.25;6055.5;6055.25;6055.5;13
20250612 085200;6055.75;6055.75;6055.5;6055.5;16
20250612 085300;6055.5;6056.25;6055.5;6056.25;7
20250612 085400;6056.25;6056.5;6055.75;6056.25;27
20250612 085500;6056.25;6057;6056.25;6056.5;22
20250612 085600;6056.75;6058.25;6056.75;6057.5;51
20250612 085700;6057.25;6057.75;6056.5;6056.5;19
20250612 085800;6057;6057;6056.25;6056.25;13
20250612 085900;6056.5;6056.75;6056.25;6056.75;16
20250612 090000;6057.25;6057.5;6057;6057;6
20250612 090100;6057.25;6057.75;6057;6057;20
20250612 090200;6057;6058;6057;6057.25;12
20250612 090300;6057;6058.5;6056.5;6058.5;11
20250612 090400;6058;6059.75;6057.75;6059.5;24
20250612 090500;6059.25;6059.25;6057.25;6057.25;18
20250612 090600;6057.25;6058.75;6057.25;6058.75;28
20250612 090700;6058.5;6059;6058.5;6059;20
20250612 090800;6059.75;6060;6059.5;6059.5;29
20250612 090900;6059.5;6059.5;6059;6059;6
20250612 091000;6060;6060;6059.25;6059.25;3
20250612 091100;6059.75;6060;6059.5;6060;5
20250612 091200;6060.25;6060.25;6059.25;6059.25;9
20250612 091300;6059.25;6059.25;6058.5;6058.5;7
